Date,City,Meteors
2022-04-01,Budapest,0
2022-04-02,Budapest,0
2022-04-03,Budapest,0
2022-04-04,Budapest,0
2022-04-05,Budapest,0
2022-04-06,Budapest,0
2022-04-07,Budapest,0
2022-04-08,Budapest,5
2022-04-09,Budapest,0
2022-04-10,Budapest,0
2022-04-11,Budapest,0
2022-04-12,Budapest,0
2022-04-13,Budapest,0
2022-04-14,Budapest,0
2022-04-15,Budapest,0
2022-04-16,Budapest,0
2022-04-17,Budapest,9
2022-04-18,Budapest,0
2022-04-19,Budapest,0
2022-04-20,Budapest,0
2022-04-21,Budapest,0
2022-04-22,Budapest,1
2022-04-23,Budapest,0
2022-04-24,Budapest,0
2022-04-25,Budapest,0
2022-04-26,Budapest,0
2022-04-27,Budapest,0
2022-04-28,Budapest,0
2022-04-29,Budapest,12
2022-04-30,Budapest,0
2022-05-01,Budapest,6
2022-05-02,Budapest,0
2022-05-03,Budapest,0
2022-05-04,Budapest,0
2022-05-05,Budapest,0
2022-05-06,Budapest,0
2022-05-07,Budapest,0
2022-05-08,Budapest,0
2022-05-09,Budapest,0
2022-05-10,Budapest,0
2022-05-11,Budapest,0
2022-05-12,Budapest,0
2022-05-13,Budapest,0
2022-05-14,Budapest,0
2022-05-15,Budapest,0
2022-05-16,Budapest,0
2022-05-17,Budapest,4
2022-05-18,Budapest,8
2022-05-19,Budapest,0
2022-05-20,Budapest,11
2022-05-21,Budapest,0
2022-05-22,Budapest,0
2022-05-23,Budapest,0
2022-05-24,Budapest,13
2022-05-25,Budapest,0
2022-05-26,Budapest,6
2022-05-27,Budapest,13
2022-05-28,Budapest,0
2022-05-29,Budapest,0
2022-05-30,Budapest,0
2022-05-31,Budapest,0
2022-06-01,Budapest,0
2022-06-02,Budapest,0
2022-06-03,Budapest,0
2022-06-04,Budapest,0
2022-06-05,Budapest,0
2022-06-06,Budapest,0
2022-06-07,Budapest,0
2022-06-08,Budapest,0
2022-06-09,Budapest,6
2022-06-10,Budapest,0
2022-06-11,Budapest,0
2022-06-12,Budapest,0
2022-06-13,Budapest,0
2022-06-14,Budapest,0
2022-06-15,Budapest,0
2022-06-16,Budapest,0
2022-06-17,Budapest,0
2022-06-18,Budapest,0
2022-06-19,Budapest,0
2022-06-20,Budapest,0
2022-06-21,Budapest,0
2022-06-22,Budapest,0
2022-06-23,Budapest,0
2022-06-24,Budapest,0
2022-06-25,Budapest,0
2022-06-26,Budapest,0
2022-06-27,Budapest,0
2022-06-28,Budapest,0
2022-06-29,Budapest,1
2022-06-30,Budapest,0
2022-07-01,Budapest,0
2022-07-02,Budapest,4
2022-07-03,Budapest,5
2022-07-04,Budapest,0
2022-07-05,Budapest,0
2022-07-06,Budapest,0
2022-07-07,Budapest,0
2022-07-08,Budapest,0
