Date,City,Meteors
2023-11-15,Tokyo,8
2023-11-16,Tokyo,5
2023-11-17,Tokyo,13
2023-11-18,Tokyo,13
2023-11-19,Tokyo,0
2023-11-20,Tokyo,0
2023-11-21,Tokyo,0
2023-11-22,Tokyo,0
2023-11-23,Tokyo,0
2023-11-24,Tokyo,0
2023-11-25,Tokyo,11
2023-11-26,Tokyo,0
2023-11-27,Tokyo,13
2023-11-28,Tokyo,0
2023-11-29,Tokyo,0
2023-11-30,Tokyo,0
2023-12-01,Tokyo,0
2023-12-02,Tokyo,0
2023-12-03,Tokyo,0
2023-12-04,Tokyo,0
2023-12-05,Tokyo,0
2023-12-06,Tokyo,0
2023-12-07,Tokyo,0
2023-12-08,Tokyo,0
2023-12-09,Tokyo,0
2023-12-10,Tokyo,0
2023-12-11,Tokyo,0
2023-12-12,Tokyo,0
2023-12-13,Tokyo,9
2023-12-14,Tokyo,0
2023-12-15,Tokyo,11
2023-12-16,Tokyo,0
2023-12-17,Tokyo,4
2023-12-18,Tokyo,9
2023-12-19,Tokyo,0
2023-12-20,Tokyo,0
2023-12-21,Tokyo,0
2023-12-22,Tokyo,0
2023-12-23,Tokyo,0
2023-12-24,Tokyo,0
2023-12-25,Tokyo,0
2023-12-26,Tokyo,10
2023-12-27,Tokyo,0
2023-12-28,Tokyo,0
2023-12-29,Tokyo,0
2023-12-30,Tokyo,0
2023-12-31,Tokyo,4
2024-01-01,Tokyo,14
2024-01-02,Tokyo,11
2024-01-03,Tokyo,0
2024-01-04,Tokyo,0
2024-01-05,Tokyo,0
2024-01-06,Tokyo,0
2024-01-07,Tokyo,9
2024-01-08,Tokyo,0
2024-01-09,Tokyo,0
2024-01-10,Tokyo,14
2024-01-11,Tokyo,0
2024-01-12,Tokyo,0
2024-01-13,Tokyo,0
2024-01-14,Tokyo,0
2024-01-15,Tokyo,0
2024-01-16,Tokyo,0
2024-01-17,Tokyo,5
2024-01-18,Tokyo,6
2024-01-19,Tokyo,0
2024-01-20,Tokyo,0
2024-01-21,Tokyo,0
2024-01-22,Tokyo,0
2024-01-23,Tokyo,0
2024-01-24,Tokyo,0
2024-01-25,Tokyo,12
2024-01-26,Tokyo,0
2024-01-27,Tokyo,1
2024-01-28,Tokyo,0
2024-01-29,Tokyo,0
2024-01-30,Tokyo,0
2024-01-31,Tokyo,0
2024-02-01,Tokyo,0
2024-02-02,Tokyo,0
2024-02-03,Tokyo,0
2024-02-04,Tokyo,0
2024-02-05,Tokyo,0
2024-02-06,Tokyo,0
2024-02-07,Tokyo,0
2024-02-08,Tokyo,5
2024-02-09,Tokyo,0
2024-02-10,Tokyo,0
2024-02-11,Tokyo,0
2024-02-12,Tokyo,0
2024-02-13,Tokyo,0
2024-02-14,Tokyo,0
2024-02-15,Tokyo,0
2024-02-16,Tokyo,0
2024-02-17,Tokyo,0
2024-02-18,Tokyo,0
2024-02-19,Tokyo,0
2024-02-20,Tokyo,3
2024-02-21,Tokyo,14
2024-02-22,Tokyo,7
2024-02-23,Tokyo,0
2024-02-24,Tokyo,0
2024-02-25,Tokyo,0
2024-02-26,Tokyo,0
2024-02-27,Tokyo,0
2024-02-28,Tokyo,0
2024-02-29,Tokyo,0
2024-03-01,Tokyo,0
2024-03-02,Tokyo,0
2024-03-03,Tokyo,0
2024-03-04,Tokyo,0
2024-03-05,Tokyo,0
2024-03-06,Tokyo,13
2024-03-07,Tokyo,0
2024-03-08,Tokyo,0
2024-03-09,Tokyo,14
2024-03-10,Tokyo,0
2024-03-11,Tokyo,0
2024-03-12,Tokyo,12
2024-03-13,Tokyo,0
2024-03-14,Tokyo,0
2024-03-15,Tokyo,14
2024-03-16,Tokyo,4
2024-03-17,Tokyo,0
2024-03-18,Tokyo,0
2024-03-19,Tokyo,0
2024-03-20,Tokyo,0
2024-03-21,Tokyo,0
2024-03-22,Tokyo,0
2024-03-23,Tokyo,0
2024-03-24,Tokyo,4
2024-03-25,Tokyo,0
2024-03-26,Tokyo,0
2024-03-27,Tokyo,0
2024-03-28,Tokyo,0
